X,Y,first_city,city,id
-106.110832662017,37.7513402649644,Center,12855,117
-104.992771395866,40.2321635740677,Mead,49600,118
-107.831242839723,37.8568091002828,Ophir,55870,119
-106.092247061138,38.5132837368821,Poncha Springs,60600,120
-103.164838652888,38.4525073282865,Haswell,34740,121
-105.056773243126,39.7747686282958,Mountain View,52350,122
-104.948157145551,40.3498934259828,Johnstown,39855,123
-104.931925773739,37.9212576826331,Rye,66895,124
-104.913032881482,39.615135570012,Greenwood Village,33035,125
-105.985456792414,37.1717456394752,Romeo,65740,126
-102.221337317659,38.1211104701255,Hartman,34520,127
-102.62971461318,40.6418760811231,Haxtun,34960,128
-106.836707076081,39.1951083957414,Aspen,03620,129
-104.770666494179,40.4149167984481,Greeley,32155,130
-106.141045665832,38.0863351494017,Saguache,67005,131
-106.281336226838,40.7315839980487,Walden,82130,132
-106.643204628591,37.6688150252026,South Fork,72395,133
-107.555660307419,40.5169876973793,Craig,17760,134
-104.843440604707,39.8639750542627,Commerce City,16495,135
-105.696220849,37.9945367106571,Crestone,18420,136
-104.755180469934,40.6334991879895,Pierce,59005,137
-102.488307291246,40.1122518913659,Eckley,23025,138
-103.0750619482,39.2943989673676,Flagler,26765,139
-102.271482967916,39.3042051856915,Burlington,10600,140
-103.859743489918,38.1935059794698,Crowley,18750,141
-102.779829426733,38.4815469747673,Eads,22145,142
-103.223541677504,38.0695175346963,Las Animas,43660,143
-105.876944575395,37.4755774953284,Alamosa,01090,144
-104.949470048402,40.1563833588468,Firestone,26600,145
-107.63738555816,37.1180336651444,Ignacio,38535,146
-106.957402514306,40.2740677918735,Oak Creek,55155,147
-107.859386003915,38.4688259081498,Montrose,51745,148
-108.500022620964,37.4739702725498,Dolores,20770,149
-107.190675106257,39.0716539446917,Marble,48555,150
-107.334394485084,39.5453670994508,Glenwood Springs,30780,151
-105.521622794895,40.369869913307,Estes Park,25115,152
-107.96451641806,39.2396779760558,Collbran,15605,153
-108.293968623565,37.3466475134589,Mancos,48115,154
-104.682420790832,38.6888230864013,Fountain,27865,155
-104.16733382841,39.1214332765941,Ramah,62660,156
-108.576640007138,37.3503672082176,Cortez,17375,157
-105.682783002938,39.759448675836,Empire,24620,158
-105.391629508488,40.1183439361497,Jamestown,39195,159
-104.874070748326,39.472750839486,Castle Pines,12390,160
-104.503504857958,40.1115800742645,Keenesburg,40185,161
-105.937339530287,37.1737431060837,Manassa,48060,162
-105.900873499707,37.2573833320842,Sanford,67830,163
-103.220268904227,40.1633737351297,Akron,00925,164
-106.977269482436,38.8676411995677,Crested Butte,18310,165
-104.225941163574,40.8691040994846,Grover,33310,166
-104.081814320055,39.1410517239198,Simla,70635,167
-105.023309441421,38.9346081589261,Green Mountain Falls,32650,168
-103.353644034774,40.4836958582768,Merino,50040,169
-103.843596929544,40.607949202116,Raymer,63045,170
-107.595123774643,37.234260987348,Bayfield,05265,171
-106.010320545537,37.0772318200348,Antonito,02355,172
-105.052588697338,39.9541611552188,Broomfield,09280,173
-102.526071205778,40.9357547961962,Sedgwick,68930,174
-104.802365036787,40.0841645342073,Fort Lupton,27700,175
-102.61889835953,37.4049149860601,Springfield,73330,176
-103.756679560208,38.2208984199007,Ordway,56145,177
-102.615164887021,38.073650820958,Lamar,43110,178
-104.07213495181,40.228748673267,Wiggins,84770,179
-106.514932323792,38.6087185119626,Pitkin,59830,180
-106.039240628,39.6212936687296,Dillon,20440,181
-105.82302591215,40.2503301386658,Grand Lake,31715,182
-102.396555609183,37.5606642690123,Two Buttes,79270,183
-103.684451026457,39.2679421515829,Limon,44980,184
-107.870336411996,37.2750123814396,Durango,22035,185
-103.79037104449,40.2557952886369,Fort Morgan,27810,186
-105.513882594351,40.0721662448411,Ward,82735,187
-103.883777110842,37.0154926466903,Branson,08345,188
-105.513803190358,37.4394724142397,Blanca,07190,189
-105.500109264519,39.7444447129785,Idaho Springs,38370,190
