City/Town Name:,Type:,LG ID:,FIPS:,Census MRF:,Counties:
"Cripple Creek, City of",Statutory Cities,60001,18530,280,Teller
"Victor, City of",Statutory Cities,60012,80865,1310,Teller
"Woodland Park, City of",Home Rule Municipalities,60015,86090,1380,Teller
"Akron, Town of",Statutory Towns,61002,925,10,Washington
"Otis, Town of",Statutory Towns,61006,56365,1000,Washington
"Ault, Town of",Statutory Towns,62003,3950,50,Weld
"Dacono, City of",Home Rule Municipalities,62007,19080,295,Weld
"Eaton, Town of",Statutory Towns,62008,22860,370,Weld
"Evans, City of",Home Rule Municipalities,62011,25280,415,Weld
"Firestone, Town of",Statutory Towns,62012,26600,435,Weld
"Fort Lupton, City of",Statutory Cities,62014,27700,465,Weld
"Frederick, Town of",Statutory Towns,62016,28360,490,Weld
"Garden City, Town of",Statutory Towns,62018,29185,510,Weld
"Gilcrest, Town of",Statutory Towns,62020,29955,525,Weld
"Greeley, City of",Home Rule Municipalities,62022,32155,570,Weld
"Grover, Town of",Statutory Towns,62023,33310,585,Weld
"Hudson, Town of",Statutory Towns,62029,37820,650,Weld
"Keenesburg, Town of",Statutory Towns,62033,40185,700,Weld
"Kersey, Town of",Statutory Towns,62035,40515,710,Weld
"La Salle, Town of",Statutory Towns,62037,43605,775,Weld
"Lochbuie, Town of",Statutory Towns,62038,45530,813,"Adams, Weld"
"Mead, Town of",Statutory Towns,62040,49600,865,Weld
"Milliken, Town of",Statutory Towns,62043,50480,885,Weld
"Nunn, Town of",Statutory Towns,62045,55045,960,Weld
"Pierce, Town of",Statutory Towns,62046,59005,1045,Weld
"Platteville, Town of",Statutory Towns,62050,60160,1055,Weld
"Raymer, Town of",Statutory Towns,62051,63045,1100,Weld
"Severance, Town of",Statutory Towns,62053,69150,1195,Weld
"Eckley, Town of",Statutory Towns,63003,23025,375,Yuma
"Wray, City of",Home Rule Municipalities,63010,86310,1385,Yuma
"Yuma, City of",Home Rule Municipalities,63017,86750,1395,Yuma
"Arvada, City of",Home Rule Municipalities,64009,3455,40,"Adams, Jefferson"
"Aurora, City of",Home Rule Municipalities,64010,4000,55,"Adams, Arapahoe, Douglas"
"Basalt, Town of",Home Rule Municipalities,64017,4935,60,"Eagle, Pitkin"
"Bow Mar, Town of",Statutory Towns,64026,8070,115,"Arapahoe, Jefferson"
"Brighton, City of",Home Rule Municipalities,64029,8675,130,"Adams, Weld"
"Broomfield, City and County of",City & County Of Broomfield,64030,9280,143,Broomfield
"Center, Town of",Statutory Towns,64039,12855,195,"Rio Grande, Saguache"
"Erie, Town of",Statutory Towns,64060,24950,400,"Boulder, Weld"
"Green Mountain Falls, Town of",Statutory Towns,64070,32650,575,"El Paso, Teller"
"Littleton, City of",Home Rule Municipalities,64085,45255,810,"Arapahoe, Douglas, Jefferson"
"Westminster, City of",Home Rule Municipalities,64153,83835,1355,"Adams, Jefferson"
"Superior, Town of",Statutory Towns,64183,75640,1270,"Boulder, Jefferson"
"Northglenn, City of",Home Rule Municipalities,64198,54330,943,"Adams, Weld"
"Longmont, City of",Home Rule Municipalities,64205,45970,820,"Boulder, Weld"
"Windsor, Town of",Home Rule Municipalities,64225,85485,1375,"Larimer, Weld"
"Berthoud, Town of",Statutory Towns,64237,6255,80,"Larimer, Weld"
"Bennett, Town of",Statutory Towns,64258,6090,75,"Adams, Arapahoe"
Central City,Home Rule Municipalities,64263,12910,200,"Clear Creek, Gilpin"
"Thornton, City of",Home Rule Municipalities,64264,77290,1285,"Adams, Weld"
"Johnstown, Town of",Home Rule Municipalities,64266,39855,690,"Larimer, Weld"
"Castle Pines, City of",Statutory Cities,65986,12387,,Douglas
"Carbonate, Town of",Statutory Towns,66636,,,Garfield
