"Feature Name","ID","Class","County","State","Latitude","Longitude","Ele(ft)","Map","BGN Date","Entry Date"
Mesa County,198154,Civil,Mesa,CO,390106N,1082759W,4977,Clifton,,01-FEB-1993
Mineral County,198155,Civil,Mineral,CO,374008N,1065527W,11778,Spar City,,01-FEB-1993
Minturn-Red Cliff Division,1935524,Civil,Eagle,CO,393402N,1062500W,8035,Minturn,,26-SEP-2001
Model Division,1935525,Civil,Las Animas,CO,372759N,1040343W,5364,Brown Sheep Camp,,26-SEP-2001
Moffat County,198156,Civil,Moffat,CO,403706N,1081226W,6814,Sunbeam,,01-FEB-1993
Monte Vista Division,1935526,Civil,Rio Grande,CO,373035N,1061030W,7772,Monte Vista,,26-SEP-2001
Montezuma County,198157,Civil,Montezuma,CO,372018N,1083548W,6145,Cortez,,01-FEB-1993
Montezuma-Cortez School District,1794958,Civil,Montezuma,CO,372051N,1083501W,6181,Cortez,,18-MAY-1998
Montrose County,198158,Civil,Montrose,CO,382408N,1081610W,9167,Moore Mesa,,01-FEB-1993
Montrose Division,1935527,Civil,Montrose,CO,382534N,1075018W,6020,Montrose East,,26-SEP-2001
Monument Division,1935528,Civil,El Paso,CO,390105N,1045535W,9108,Palmer Lake,,26-SEP-2001
Morgan County,198159,Civil,Morgan,CO,401546N,1034835W,4327,Fort Morgan,,01-FEB-1993
Mosca-Hooper Division,1935529,Civil,Alamosa,CO,373910N,1054519W,7526,Hooper East,,26-SEP-2001
New Castle Division,1935530,Civil,Garfield,CO,393445N,1073237W,5620,New Castle,,26-SEP-2001
Nolan Grant,193697,Civil,Pueblo,CO,381515N,1043802W,4787,Northwest Pueblo,,13-OCT-1978
North Aurora Division,1935531,Civil,Adams,CO,394624N,1044244W,5495,Denver International Airport,,26-SEP-2001
Northeast Jefferson Division,1935532,Civil,Jefferson,CO,394518N,1050742W,5558,Golden,,26-SEP-2001
Northeast Pueblo Division,1935533,Civil,Pueblo,CO,382243N,1041642W,4842,North Avondale NE,,26-SEP-2001
Norwood Division,1935534,Civil,San Miguel,CO,380233N,1081902W,8140,Oak Hill,,26-SEP-2001
Nucla Division,1935535,Civil,Montrose,CO,381811N,1083615W,5620,Nucla,,26-SEP-2001
Oak Creek Division,1935536,Civil,Routt,CO,401639N,1065130W,7139,Blacktail Mountain,,26-SEP-2001
Olathe Division,1935537,Civil,Montrose,CO,383327N,1080131W,5604,Hoovers Corner,,26-SEP-2001
Ordway Division,1935538,Civil,Crowley,CO,381936N,1035317W,4557,Antelope Mesa,,26-SEP-2001
Otero County,198160,Civil,Otero,CO,375410N,1034259W,4380,Hawley,,01-FEB-1993
Otis Division,1935539,Civil,Washington,CO,401255N,1025546W,4324,Otis,,26-SEP-2001
Ouray County,198161,Civil,Ouray,CO,380920N,1074610W,7339,Ridgway,,01-FEB-1993
Ouray Division,1935540,Civil,Ouray,CO,380920N,1074610W,7339,Ridgway,,26-SEP-2001
Pagosa Springs Division,1935541,Civil,Archuleta,CO,371049N,1065325W,8189,Serviceberry Mountain,,26-SEP-2001
Paonia Division,1935542,Civil,Delta,CO,385852N,1073534W,8806,Bowie,,26-SEP-2001
Park County,198162,Civil,Park,CO,390709N,1054302W,9206,Sulphur Mountain,,01-FEB-1993
Parker Division,1935543,Civil,Douglas,CO,392300N,1044450W,6220,Ponderosa Park,,26-SEP-2001
Peetz Division,1935544,Civil,Logan,CO,405530N,1031441W,4593,Padroni NW,,26-SEP-2001
Penrose-Portland Division,1935545,Civil,Fremont,CO,382802N,1050109W,5686,Florence,,26-SEP-2001
