"MunicipalityName","FIPS_ID","FIPS_ID_Flag","GNIS_ID","GNIS_ID_Flag","DOLA_LG_ID","DOLA_LG_ID_Flag","OWF_ID","OWF_ID_Full","OWF_ID_Flag","PWS_ID","PWS_ID_Flag","DWR_WaterDistrict_ID","DWR_WaterDistrict_ID_Flag","County_CSV","NumCounty","IBCC_Basin_CSV","Num_IBCC_Basin","Latitude","Longitude","Lat_Long_Flag","Website","Website_Flag","Comment"
Firestone,26600,G,2412626,G,62012,G,Firestone,Firestone,G,CO0162476,G,,x,Weld,1,South Platte,1,40.156383,-104.949470,,http://www.firestoneco.gov/,G,
Flagler,26765,G,2412628,G,32010,G,Flagler,Flagler,G,CO0132010,G,,x,Kit Carson,1,South Platte,1,39.294399,-103.075062,,http://flaglercolorado.com/,G,
Fleming,26875,G,2412631,G,38005,G,Fleming,Fleming,G,CO0138010,G,,x,Logan,1,South Platte,1,40.681191,-102.839506,,"https://en.wikipedia.org/wiki/Fleming,_Colorado",g,New BNDSS ID; did not have an ID in original BNDSS
Florence,27040,G,2410510,G,22011,G,Florence,Florence,G,CO0122500,G,,x,Fremont,1,Arkansas,1,38.383560,-105.111978,,http://www.florencecolorado.org/,G,
Fort Collins,27425,G,2410526,G,35009,G,FtCollins,FortCollins,G,CO0135291,G,,x,Larimer,1,South Platte,1,40.547760,-105.065725,,https://www.fcgov.com/,G,
Fort Lupton,27700,G,2410528,G,62014,G,FtLupton,FortLupton,G,CO0162291,G,,x,Weld,1,South Platte,1,40.084165,-104.802365,,http://www.fortlupton.org/,G,
Fort Morgan,27810,G,2410529,G,44006,G,FtMorgan,FortMorgan,G,CO0144005,G,,x,Morgan,1,South Platte,1,40.255795,-103.790371,,http://www.cityoffortmorgan.com/,G,
Fountain,27865,G,2410535,G,21026,G,Fountain,Fountain,G,CO0121275,G,,x,El Paso,1,Arkansas,1,38.688823,-104.682421,,http://www.fountaincolorado.org/,G,
Fowler,27975,G,2412648,G,45004,G,Fowler,Fowler,G,CO0145210,G,,x,Otero,1,Arkansas,1,38.130470,-104.026477,,http://www.fowlercolorado.com/,G,
Foxfield,28105,G,2412649,G,03134,G,Foxfield,Foxfield,G,,M,,x,Arapahoe,1,Metro,1,39.588175,-104.785483,,http://foxfieldcolorado.com/,G,
Fraser,28305,G,2412655,G,25006,G,Fraser,Fraser,G,CO0125288,G,,x,Grand,1,Colorado,1,39.930264,-105.802883,,http://www.frasercolorado.com/,G,
Frederick,28360,G,2412656,G,62016,G,Frederick,Frederick,G,CO0162288,G,,x,Weld,1,South Platte,1,40.109531,-104.966881,,http://www.frederickco.gov/,G,
Frisco,28690,G,2412661,G,59015,G,Frisco,Frisco,G,CO0159055,G,,x,Summit,1,Colorado,1,39.579143,-106.091539,,http://www.friscogov.com/,G,
Fruita,28745,G,2410553,G,39014,G,Fruita,Fruita,G,CO0051540,G,,x,Mesa,1,Colorado,1,39.154859,-108.730487,,http://fruita.org/,G,New BNDSS ID; did not have an ID in original BNDSS
Garden City,29185,G,2412667,G,62018,G,GardenCity,GardenCity,G,CO0140897,G,,x,Weld,1,South Platte,1,40.394586,-104.689525,,http://townofgardencity.com/,G,New BNDSS ID; did not have an ID in original BNDSS
Genoa,29680,G,2412675,G,37004,G,Genoa,Genoa,G,CO0137005,G,,x,Lincoln,1,South Platte,1,39.278264,-103.499310,,https://www.colorado.gov/townofgenoa,G,New BNDSS ID; did not have an ID in original BNDSS
Georgetown,29735,G,2412677,G,10007,G,Georgetown,Georgetown,G,CO0110015,G,,x,Clear Creek,1,South Platte,1,39.717971,-105.694229,,https://www.georgetown-colorado.org/,G,
Gilcrest,29955,G,2412683,G,62020,G,Gilcrest,Gilcrest,G,CO0162310,G,,x,Weld,1,South Platte,1,40.284171,-104.782024,,http://townofgilcrest.org/,G,New BNDSS ID; did not have an ID in original BNDSS
