Municipality_Name,FIPS_ID,LocalGovt_ID,BNDSS_ID,PWS_ID,County,Basin,Comment
Salida,67280,8007,Salida,CO0108700,Chaffee,Arkansas,
San Luis,68105,11016,SanLuis,NaN,Costilla,Rio Grande,New BNDSS ID; did not have an ID in original BNDSS
Sanford,67830,12009,Sanford,CO0111900,Conejos,Rio Grande,
Sawpit,68655,57017,Sawpit,CO0157700,San Miguel,Southwest,New BNDSS ID; did not have an ID in original BNDSS
Sedgwick,68930,58012,Sedgwick,CO0158010,Sedgwick,South Platte,New BNDSS ID; did not have an ID in original BNDSS
Seibert,69040,32015,Seibert,CO0132015,Kit Carson,South Platte,New BNDSS ID; did not have an ID in original BNDSS
Severance,69150,62053,Severance,CO0162707,Weld,South Platte,
Sheridan,69645,31008,SheridanWS,CO0103709,Arapahoe,Metro,
Sheridan Lake,69700,3065,SheridanLake,NaN,Kiowa,Arkansas,New BNDSS ID; did not have an ID in original BNDSS
Silt,70195,23019,Silt,CO0123710,Garfield,Colorado,
Silver Cliff,70250,14004,SilverCliff,NaN,Custer,Arkansas,New BNDSS ID; did not have an ID in original BNDSS
Silver Plume,70360,10009,SilverPlume,CO0110035,Clear Creek,South Platte,New BNDSS ID; did not have an ID in original BNDSS
Silverthorne,70525,59018,SilverthorneWS,CO0159095,Summit,Colorado,
Silverton,70580,56002,Silverton,CO0156600,San Juan,Southwest,New BNDSS ID; did not have an ID in original BNDSS
Simla,70635,20006,Simla,CO0120025,Elbert,Arkansas,New BNDSS ID; did not have an ID in original BNDSS
Snowmass Village,71755,49012,SnowmassVillage,NaN,Pitkin,Colorado,New BNDSS ID; did not have an ID in original BNDSS
South Fork,72395,53013,SouthFork,NaN,Rio Grande,Rio Grande,New BNDSS ID; did not have an ID in original BNDSS
Springfield,73330,5011,Springfield,CO0105500,Baca,Arkansas,
Starkville,73715,36010,Starkville,CO0136724,Las Animas,Arkansas,New BNDSS ID; did not have an ID in original BNDSS
Steamboat Springs,73825,54023,SteamboatSpgs,CO0154725,Routt,Yampa,
Sterling,73935,38019,Sterling,CO0138045,Logan,South Platte,
Stratton,74485,32020,Stratton,CO0132020,Kit Carson,South Platte,New BNDSS ID; did not have an ID in original BNDSS
Sugar City,74815,13007,SugarCity,CO0113900,Crowley,Arkansas,
Superior,75640,64183,Superior,NaN,"Boulder, Jefferson",South Platte,
Swink,75970,45015,Swink,CO0145720,Otero,Arkansas,
Telluride,76795,57014,Telluride,CO0157800,San Miguel,Southwest,
Thornton,77290,64264,Thornton,CO0101150,"Adams, Weld","Metro, South Platte",
Timnath,77510,35044,Timnath,CO0055699,Larimer,South Platte,New BNDSS ID; did not have an ID in original BNDSS
Trinidad,78610,36011,Trinidad,CO0136800,Las Animas,Arkansas,
Two Buttes,79270,5016,TwoButtes,CO0105700,Baca,Arkansas,New BNDSS ID; did not have an ID in original BNDSS
Vail,80040,19038,Vail,NaN,Eagle,Colorado,
Victor,80865,60012,Victor,CO0160700,Teller,Arkansas,New BNDSS ID; did not have an ID in original BNDSS
Vilas,81030,5019,Vilas,CO0105800,Baca,Arkansas,
Vona,81690,32023,Vona,CO0132025,Kit Carson,South Platte,New BNDSS ID; did not have an ID in original BNDSS
Walden,82130,29006,Walden,CO0129834,Jackson,North Platte,
Walsenburg,82350,28010,Walsenburg,CO0128900,Huerfano,Arkansas,
Walsh,82460,5023,Walsh,CO0105900,Baca,Arkansas,
Ward,82735,7042,Ward,CO0107834,Boulder,South Platte,New BNDSS ID; did not have an ID in original BNDSS
Wellington,83230,35047,Wellington,CO0135838,Larimer,South Platte,
Westcliffe,83450,14005,Westcliffe,NaN,Custer,Arkansas,New BNDSS ID; did not have an ID in original BNDSS
Westminster,83835,64153,Westminster,CO0101170,"Adams, Jefferson",Metro,
Wheat Ridge,84440,30093,WheatRidge,NaN,Jefferson,Metro,New BNDSS ID; did not have an ID in original BNDSS
Wiggins,84770,44016,Wiggins,CO0144035,Morgan,South Platte,New BNDSS ID; did not have an ID in original BNDSS
Wiley,85045,50017,Wiley,CO0150900,Prowers,Arkansas,
Williamsburg,85155,22019,Williamsburg,CO0122950,Fremont,Arkansas,New BNDSS ID; did not have an ID in original BNDSS
Windsor,85485,64225,Windsor,CO0162843,"Larimer, Weld",South Platte,
Winter Park,85705,25025,WinterPark,NaN,Grand,Colorado,New BNDSS ID; did not have an ID in original BNDSS
Woodland Park,86090,60015,WoodlandPark,CO0160900,Teller,South Platte,New BNDSS ID; did not have an ID in original BNDSS
Wray,86310,63010,Wray,CO0163010,Yuma,South Platte,
Yampa,86475,54030,Yampa,CO0154900,Routt,Yampa,
Yuma,86750,63017,Yuma,CO0163020,Yuma ,South Platte,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
